state_name,place_name,quality_good,quality_marginal,quality_poor,missing_values,total_metrics,shr_good,shr_poor,shr_missing,good_score,marginal_score,poor_score,missing_score,total_score
California,Santa Rosa city,17,2,5,3,27,0.6296296296296297,0.18518518518518517,0.1111111111111111,34,2,-5,-6,25
California,Simi Valley city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,South Gate city,10,12,1,4,27,0.37037037037037035,0.037037037037037035,0.14814814814814814,20,12,-1,-8,23
California,Stockton city,19,5,1,2,27,0.7037037037037037,0.037037037037037035,0.07407407407407407,38,5,-1,-4,38
California,Sunnyvale city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,Temecula city,18,1,5,3,27,0.6666666666666666,0.18518518518518517,0.1111111111111111,36,1,-5,-6,26
California,Thousand Oaks city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,Torrance city,22,1,2,3,28,0.7857142857142857,0.07142857142857142,0.10714285714285714,44,1,-2,-6,37
California,Tracy city,12,7,5,3,27,0.4444444444444444,0.18518518518518517,0.1111111111111111,24,7,-5,-6,20
California,Tustin city,11,3,10,3,27,0.4074074074074074,0.37037037037037035,0.1111111111111111,22,3,-10,-6,9
California,Upland city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Vacaville city,12,7,5,3,27,0.4444444444444444,0.18518518518518517,0.1111111111111111,24,7,-5,-6,20
California,Vallejo city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
California,Victorville city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Visalia city,16,1,7,3,27,0.5925925925925926,0.25925925925925924,0.1111111111111111,32,1,-7,-6,20
California,Vista city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,West Covina city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Westminster city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Whittier city,13,9,3,3,28,0.4642857142857143,0.10714285714285714,0.10714285714285714,26,9,-3,-6,26
Colorado,Arvada city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
