year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,06,00562,race-ethnicity,"White, Non-Hispanic",8,7,9,.0963855386,3,3
2021,06,00884,all,All,294,294,294,.0192635302,1,1
2021,06,00884,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0034013605,3,3
2021,06,00884,race-ethnicity,Hispanic,236,236,236,.8027210832,1,1
2021,06,00884,race-ethnicity,Other Races and Ethnicities,47,47,47,.1598639488,1,1
2021,06,00884,race-ethnicity,"White, Non-Hispanic",7,7,7,.0238095243,1,1
2021,06,02000,all,All,5430,5429,5431,.1048505455,1,1
2021,06,02000,race-ethnicity,"Black, Non-Hispanic",128,127,129,.0235727448,1,1
2021,06,02000,race-ethnicity,Hispanic,4571,4571,4571,.8418048024,1,1
2021,06,02000,race-ethnicity,Other Races and Ethnicities,460,458,462,.0847145468,1,1
2021,06,02000,race-ethnicity,"White, Non-Hispanic",257,255,259,.0473296493,1,1
2021,06,02252,all,All,380,380,380,.0240750127,1,1
2021,06,02252,race-ethnicity,"Black, Non-Hispanic",124,124,124,.3263157904,1,1
2021,06,02252,race-ethnicity,Hispanic,178,178,178,.468421042,1,1
2021,06,02252,race-ethnicity,Other Races and Ethnicities,43,42,44,.1131578982,1,1
2021,06,02252,race-ethnicity,"White, Non-Hispanic",30,29,31,.0789473653,2,2
2021,06,02364,all,All,843,843,843,.0571060814,1,1
2021,06,02364,race-ethnicity,"Black, Non-Hispanic",100,100,100,.1186239645,1,1
2021,06,02364,race-ethnicity,Hispanic,494,494,494,.5860023499,1,1
2021,06,02364,race-ethnicity,Other Races and Ethnicities,47,46,48,.0557532609,1,1
2021,06,02364,race-ethnicity,"White, Non-Hispanic",198,197,199,.2348754406,1,1
2021,06,03526,all,All,3197,3197,3197,.0254321564,1,1
2021,06,03526,race-ethnicity,"Black, Non-Hispanic",466,462,470,.1457616538,1,1
2021,06,03526,race-ethnicity,Hispanic,2129,2127,2131,.6659368277,1,1
2021,06,03526,race-ethnicity,Other Races and Ethnicities,153,147,159,.0478573665,2,2
2021,06,03526,race-ethnicity,"White, Non-Hispanic",424,423,425,.1326243281,1,1
2021,06,04982,all,All,99,99,99,.0097287735,1,1
2021,06,04982,race-ethnicity,"Black, Non-Hispanic",26,26,26,.2626262605,1,1
2021,06,04982,race-ethnicity,Hispanic,61,61,61,.6161616445,1,1
2021,06,04982,race-ethnicity,Other Races and Ethnicities,6,6,6,.0606060624,1,1
2021,06,04982,race-ethnicity,"White, Non-Hispanic",1,0,2,.0101010101,3,3
2021,06,06000,all,All,222,222,222,.0174927115,1,1
2021,06,06000,race-ethnicity,"Black, Non-Hispanic",126,125,127,.5675675869,1,1
2021,06,06000,race-ethnicity,Hispanic,56,56,56,.2522522509,1,1
2021,06,06000,race-ethnicity,Other Races and Ethnicities,26,26,26,.1171171144,1,1
2021,06,06000,race-ethnicity,"White, Non-Hispanic",8,7,9,.0360360369,3,3
2021,06,08786,all,All,631,631,631,.0779782534,1,1
2021,06,08786,race-ethnicity,"Black, Non-Hispanic",22,21,23,.0348652937,2,2
2021,06,08786,race-ethnicity,Hispanic,457,457,457,.7242472172,1,1
2021,06,08786,race-ethnicity,Other Races and Ethnicities,73,73,73,.115689382,1,1
2021,06,08786,race-ethnicity,"White, Non-Hispanic",57,57,57,.0903328061,1,1
2021,06,08954,all,All,98,98,98,.0068383226,1,1
2021,06,08954,race-ethnicity,"Black, Non-Hispanic",8,8,8,.0816326514,1,1
2021,06,08954,race-ethnicity,Hispanic,56,56,56,.571428597,1,1
2021,06,08954,race-ethnicity,Other Races and Ethnicities,16,16,16,.1632653028,1,1
2021,06,08954,race-ethnicity,"White, Non-Hispanic",18,18,18,.1836734712,1,1
2021,06,11194,all,All,93,93,93,.008433844,1,1
2021,06,11194,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0107526882,3,3
2021,06,11194,race-ethnicity,Hispanic,54,54,54,.580645144,1,1
2021,06,11194,race-ethnicity,Other Races and Ethnicities,9,9,9,.0967741907,1,1
2021,06,11194,race-ethnicity,"White, Non-Hispanic",24,24,24,.2580645084,1,1
2021,06,11530,all,All,3,3,3,.0071942448,1,1
2021,06,11530,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,06,11530,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,06,11530,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,06,11530,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,06,13014,all,All,784,782,786,.0530303046,1,1
2021,06,13014,race-ethnicity,"Black, Non-Hispanic",24,22,26,.0306122452,3,3
2021,06,13014,race-ethnicity,Hispanic,306,304,308,.3903061152,1,1
2021,06,13014,race-ethnicity,Other Races and Ethnicities,142,134,150,.181122452,3,3
2021,06,13014,race-ethnicity,"White, Non-Hispanic",311,309,313,.3966836631,1,1
2021,06,13210,all,All,1805,1805,1805,.0695997551,1,1
2021,06,13210,race-ethnicity,"Black, Non-Hispanic",61,61,61,.033795014,1,1
2021,06,13210,race-ethnicity,Hispanic,1310,1310,1310,.7257617712,1,1
2021,06,13210,race-ethnicity,Other Races and Ethnicities,320,320,320,.1772853136,1,1
2021,06,13210,race-ethnicity,"White, Non-Hispanic",114,114,114,.0631578937,1,1
2021,06,13214,all,All,6,6,6,.0210526325,1,1
2021,06,13214,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,06,13214,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,06,13214,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,06,13214,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,06,13392,all,All,1633,1631,1635,.024831593,1,1
2021,06,13392,race-ethnicity,"Black, Non-Hispanic",43,40,46,.0263319053,3,3
2021,06,13392,race-ethnicity,Hispanic,1342,1339,1345,.8218003511,1,1
2021,06,13392,race-ethnicity,Other Races and Ethnicities,122,115,129,.0747091249,3,3
2021,06,13392,race-ethnicity,"White, Non-Hispanic",87,84,90,.0532761775,2,2
2021,06,13588,all,All,,,,,,
2021,06,13588,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,06,13588,race-ethnicity,Hispanic,,,,,,
2021,06,13588,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,06,13588,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,06,14218,all,All,92,92,92,.0021546171,1,1
2021,06,14218,race-ethnicity,"Black, Non-Hispanic",9,9,9,.097826086,1,1
2021,06,14218,race-ethnicity,Hispanic,44,44,44,.4782608747,1,1
2021,06,14218,race-ethnicity,Other Races and Ethnicities,8,8,8,.0869565234,1,1
2021,06,14218,race-ethnicity,"White, Non-Hispanic",28,28,28,.3043478131,1,1
2021,06,15044,all,All,680,679,681,.0359693207,1,1
2021,06,15044,race-ethnicity,"Black, Non-Hispanic",162,162,162,.2382352948,1,1
2021,06,15044,race-ethnicity,Hispanic,510,509,511,.75,1,1
2021,06,15044,race-ethnicity,Other Races and Ethnicities,3,2,4,.0044117649,3,3
2021,06,15044,race-ethnicity,"White, Non-Hispanic",4,4,4,.0058823531,1,1
2021,06,16000,all,All,623,623,623,.0193869621,1,1
2021,06,16000,race-ethnicity,"Black, Non-Hispanic",36,36,36,.0577849112,1,1
2021,06,16000,race-ethnicity,Hispanic,378,377,379,.6067415476,1,1
2021,06,16000,race-ethnicity,Other Races and Ethnicities,148,146,150,.2375601977,1,1
2021,06,16000,race-ethnicity,"White, Non-Hispanic",49,47,51,.078651689,2,2
2021,06,16350,all,All,1076,1076,1076,.0605889969,1,1
2021,06,16350,race-ethnicity,"Black, Non-Hispanic",50,49,51,.0464684032,1,1
2021,06,16350,race-ethnicity,Hispanic,915,914,916,.8503717184,1,1
2021,06,16350,race-ethnicity,Other Races and Ethnicities,36,34,38,.0334572494,3,3
2021,06,16350,race-ethnicity,"White, Non-Hispanic",74,73,75,.0687732324,1,1
2021,06,16532,all,All,1481,1481,1481,.0722016394,1,1
2021,06,16532,race-ethnicity,"Black, Non-Hispanic",6,5,7,.0040513165,3,3
2021,06,16532,race-ethnicity,Hispanic,1231,1231,1231,.831195116,1,1
2021,06,16532,race-ethnicity,Other Races and Ethnicities,142,141,143,.0958811641,1,1
2021,06,16532,race-ethnicity,"White, Non-Hispanic",91,91,91,.061444968,1,1
2021,06,17918,all,All,95,94,96,.0100571672,1,1
2021,06,17918,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0105263162,3,3
2021,06,17918,race-ethnicity,Hispanic,44,43,45,.4631578922,1,1
2021,06,17918,race-ethnicity,Other Races and Ethnicities,41,40,42,.4315789342,1,1
2021,06,17918,race-ethnicity,"White, Non-Hispanic",5,4,6,.0526315793,3,3
2021,06,19766,all,All,334,334,334,.0140987756,1,1
2021,06,19766,race-ethnicity,"Black, Non-Hispanic",56,56,56,.1676646769,1,1
2021,06,19766,race-ethnicity,Hispanic,253,253,253,.7574850321,1,1
2021,06,19766,race-ethnicity,Other Races and Ethnicities,9,9,9,.0269461069,1,1
2021,06,19766,race-ethnicity,"White, Non-Hispanic",13,13,13,.0389221571,1,1
2021,06,21712,all,All,1002,1001,1003,.0262654331,1,1
2021,06,21712,race-ethnicity,"Black, Non-Hispanic",124,122,126,.1237524971,1,1
2021,06,21712,race-ethnicity,Hispanic,538,536,540,.5369261503,1,1
2021,06,21712,race-ethnicity,Other Races and Ethnicities,100,95,105,.0998004004,3,3
2021,06,21712,race-ethnicity,"White, Non-Hispanic",216,212,220,.2155688554,1,1
2021,06,22020,all,All,870,870,870,.0138005428,1,1
2021,06,22020,race-ethnicity,"Black, Non-Hispanic",308,306,310,.3540229797,1,1
2021,06,22020,race-ethnicity,Hispanic,281,281,281,.3229885101,1,1
2021,06,22020,race-ethnicity,Other Races and Ethnicities,198,197,199,.2275862098,1,1
2021,06,22020,race-ethnicity,"White, Non-Hispanic",81,81,81,.0931034461,1,1
2021,06,22230,all,All,1768,1768,1768,.0853199512,1,1
2021,06,22230,race-ethnicity,"Black, Non-Hispanic",5,3,7,.0028280544,3,3
2021,06,22230,race-ethnicity,Hispanic,1517,1517,1517,.8580316901,1,1
2021,06,22230,race-ethnicity,Other Races and Ethnicities,228,228,228,.1289592832,1,1
2021,06,22230,race-ethnicity,"White, Non-Hispanic",14,13,15,.0079185525,3,3
2021,06,22804,all,All,1426,1426,1426,.0544378683,1,1
2021,06,22804,race-ethnicity,"Black, Non-Hispanic",31,29,33,.0217391308,3,3
2021,06,22804,race-ethnicity,Hispanic,1186,1184,1188,.8316970468,1,1
2021,06,22804,race-ethnicity,Other Races and Ethnicities,75,69,81,.0525946692,3,3
2021,06,22804,race-ethnicity,"White, Non-Hispanic",98,95,101,.0687237009,2,2
2021,06,23182,all,All,401,401,401,.0152384574,1,1
2021,06,23182,race-ethnicity,"Black, Non-Hispanic",79,78,80,.1970074773,1,1
2021,06,23182,race-ethnicity,Hispanic,218,218,218,.5436409116,1,1
2021,06,23182,race-ethnicity,Other Races and Ethnicities,50,49,51,.1246882826,1,1
2021,06,23182,race-ethnicity,"White, Non-Hispanic",42,42,42,.1047381535,1,1
2021,06,24638,all,All,,,,,,
2021,06,24638,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,06,24638,race-ethnicity,Hispanic,,,,,,
2021,06,24638,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,06,24638,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,06,24680,all,All,1399,1399,1399,.0378333069,1,1
2021,06,24680,race-ethnicity,"Black, Non-Hispanic",102,102,102,.0729092211,1,1
2021,06,24680,race-ethnicity,Hispanic,1205,1205,1205,.8613294959,1,1
2021,06,24680,race-ethnicity,Other Races and Ethnicities,35,33,37,.0250178706,3,3
2021,06,24680,race-ethnicity,"White, Non-Hispanic",57,56,58,.0407433882,1,1
2021,06,26000,all,All,222,221,223,.0065419185,1,1
2021,06,26000,race-ethnicity,"Black, Non-Hispanic",25,25,25,.1126126125,1,1
2021,06,26000,race-ethnicity,Hispanic,121,120,122,.5450450182,1,1
2021,06,26000,race-ethnicity,Other Races and Ethnicities,47,46,48,.2117117047,1,1
2021,06,26000,race-ethnicity,"White, Non-Hispanic",30,30,30,.1351351291,1,1
2021,06,27000,all,All,1321,1319,1323,.0132355448,1,1
2021,06,27000,race-ethnicity,"Black, Non-Hispanic",214,206,222,.1619984806,2,2
2021,06,27000,race-ethnicity,Hispanic,838,834,842,.6343678832,1,1
2021,06,27000,race-ethnicity,Other Races and Ethnicities,125,108,142,.0946252868,3,3
2021,06,27000,race-ethnicity,"White, Non-Hispanic",102,94,110,.0772142336,3,3
2021,06,28000,all,All,466,466,466,.0185568649,1,1
2021,06,28000,race-ethnicity,"Black, Non-Hispanic",28,28,28,.0600858368,1,1
2021,06,28000,race-ethnicity,Hispanic,347,347,347,.7446351647,1,1
2021,06,28000,race-ethnicity,Other Races and Ethnicities,30,30,30,.0643776804,1,1
2021,06,28000,race-ethnicity,"White, Non-Hispanic",54,54,54,.1158798262,1,1
2021,06,29000,all,All,666,666,666,.0172717851,1,1
2021,06,29000,race-ethnicity,"Black, Non-Hispanic",15,15,15,.0225225221,1,1
2021,06,29000,race-ethnicity,Hispanic,474,474,474,.7117117047,1,1
2021,06,29000,race-ethnicity,Other Races and Ethnicities,137,137,137,.2057057023,1,1
2021,06,29000,race-ethnicity,"White, Non-Hispanic",32,32,32,.0480480492,1,1
2021,06,30000,all,All,1341,1341,1341,.0553834699,1,1
2021,06,30000,race-ethnicity,"Black, Non-Hispanic",26,26,26,.0193885155,1,1
2021,06,30000,race-ethnicity,Hispanic,493,493,493,.3676360846,1,1
2021,06,30000,race-ethnicity,Other Races and Ethnicities,129,129,129,.0961968675,1,1
2021,06,30000,race-ethnicity,"White, Non-Hispanic",693,693,693,.5167785287,1,1
2021,06,32548,all,All,41,41,41,.0056125941,1,1
2021,06,32548,race-ethnicity,"Black, Non-Hispanic",29,29,29,.7073170543,1,1
2021,06,32548,race-ethnicity,Hispanic,6,6,6,.146341458,1,1
2021,06,32548,race-ethnicity,Other Races and Ethnicities,1,0,2,.024390243,3,3
2021,06,32548,race-ethnicity,"White, Non-Hispanic",1,0,2,.024390243,3,3
2021,06,33000,all,All,398,396,400,.0209429599,1,1
2021,06,33000,race-ethnicity,"Black, Non-Hispanic",78,77,79,.1959798932,1,1
2021,06,33000,race-ethnicity,Hispanic,272,271,273,.6834170818,1,1
2021,06,33000,race-ethnicity,Other Races and Ethnicities,28,26,30,.0703517571,3,3
2021,06,33000,race-ethnicity,"White, Non-Hispanic",15,15,15,.0376884416,1,1
2021,06,33182,all,All,564,564,564,.0251594763,1,1
2021,06,33182,race-ethnicity,"Black, Non-Hispanic",98,98,98,.1737588644,1,1
2021,06,33182,race-ethnicity,Hispanic,333,333,333,.5904255509,1,1
2021,06,33182,race-ethnicity,Other Races and Ethnicities,39,39,39,.0691489354,1,1
2021,06,33182,race-ethnicity,"White, Non-Hispanic",91,91,91,.1613475233,1,1
2021,06,33434,all,All,2275,2274,2276,.0866237655,1,1
2021,06,33434,race-ethnicity,"Black, Non-Hispanic",221,219,223,.0971428603,1,1
2021,06,33434,race-ethnicity,Hispanic,1672,1671,1673,.7349450588,1,1
2021,06,33434,race-ethnicity,Other Races and Ethnicities,75,70,80,.0329670347,3,3
2021,06,33434,race-ethnicity,"White, Non-Hispanic",292,288,296,.1283516437,1,1
2021,06,36000,all,All,1308,1306,1310,.0477319993,1,1
2021,06,36000,race-ethnicity,"Black, Non-Hispanic",6,5,7,.0045871558,3,3
2021,06,36000,race-ethnicity,Hispanic,994,994,994,.7599388361,1,1
2021,06,36000,race-ethnicity,Other Races and Ethnicities,157,155,159,.120030582,1,1
2021,06,36000,race-ethnicity,"White, Non-Hispanic",148,147,149,.1131498441,1,1
2021,06,36448,all,All,,,,,,
2021,06,36448,race-ethnicity,"Black, Non-Hispanic",,,,,,
