"year","state","place","subgroup_type","subgroup","share_digital_access","share_digital_access_quality"
2018,"09","18430","income","Less than $50,000",0.5990435584236,2
2018,"09","37000","income","$50,000 or More",0.706237804494241,3
2018,"09","37000","income","Less than $50,000",0.387716314894468,3
2018,"09","52000","income","$50,000 or More",0.798035689583621,1
2018,"09","52000","income","Less than $50,000",0.504967418010896,1
2018,"09","55990","income","$50,000 or More",0.905906465436929,2
2018,"09","55990","income","Less than $50,000",0.590173939578883,2
2018,"09","73000","income","$50,000 or More",0.8841531743885,3
2018,"09","73000","income","Less than $50,000",0.630823835232953,3
2018,"09","80000","income","$50,000 or More",0.74540018399264,2
2018,"09","80000","income","Less than $50,000",0.417407055982058,2
2018,"09","08000","all","All",0.617385799355056,1
2018,"09","18430","all","All",0.805653937793805,2
2018,"09","37000","all","All",0.49801647848642,3
2018,"09","52000","all","All",0.632670283303195,1
2018,"09","55990","all","All",0.824239793200071,2
2018,"09","73000","all","All",0.81353641202865,3
2018,"09","80000","all","All",0.557987086598649,2
2018,"11","50000","income","$50,000 or More",0.840569506799313,1
2018,"11","50000","income","Less than $50,000",0.430712734043654,1
2018,"11","50000","all","All",0.699730912374121,1
2018,"12","07300","income","$50,000 or More",0.851769890438688,2
2018,"12","07300","income","Less than $50,000",0.661989428811117,2
2018,"12","07875","income","$50,000 or More",0.822739924710391,2
2018,"12","07875","income","Less than $50,000",0.595628586773741,2
2018,"12","10275","income","$50,000 or More",0.79266333011742,1
2018,"12","10275","income","Less than $50,000",0.629791936358605,1
2018,"12","12875","income","$50,000 or More",0.82437158820928,2
2018,"12","12875","income","Less than $50,000",0.557218045314094,2
