METRIC_ID,METRIC,GEOGRAPHY,YEARS,SUBGROUP_TYPE,SUBGROUP,SUBGROUP_YEARS,CI_LOWER,CI_UPPER,HAS_CI,QUALITY,RANGE,OVERALL_DIFFERENT,FINAL_DATA_PATH
11,share_affordable_available_50_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_50_ami_lb,share_affordable_available_50_ami_ub,No,share_affordable_available_50_ami_quality,0-5,No,
11,share_affordable_available_50_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_50_ami_lb,share_affordable_available_50_ami_ub,No,share_affordable_available_50_ami_quality,0-5,No,
11,share_affordable_available_30_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_30_ami_lb,share_affordable_available_30_ami_ub,No,share_affordable_available_30_ami_quality,0-5,No,
11,share_affordable_available_30_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_30_ami_lb,share_affordable_available_30_ami_ub,No,share_affordable_available_30_ami_quality,0-5,No,
20,index_air_hazard,place,2019; 2018; 2014,all,All,2019; 2018; 2014,index_air_hazard_lb,index_air_hazard_ub,No,index_air_hazard_quality,0-100,No,
20,index_air_hazard,place,2019; 2018; 2014,race-ethnicity,"Majority Non-White; Majority White, Non-Hispanic; No Majority Race/Ethnicity",2019; 2018; 2014,index_air_hazard_lb,index_air_hazard_ub,No,index_air_hazard_quality,0-100,No,
20,index_air_hazard,place,2019; 2018; 2014,poverty,High-Poverty; Not High-Poverty,2019; 2018; 2014,index_air_hazard_lb,index_air_hazard_ub,No,index_air_hazard_quality,0-100,No,
24,rate_crime_violent,place,2024; 2023; 2022; 2021,all,All,none,rate_crime_violent_lb,rate_crime_violent_ub,No,rate_crime_violent_quality,0-50000,No,
24,rate_crime_property,place,2024; 2023; 2022; 2021,all,All,none,rate_crime_property_lb,rate_crime_property_ub,No,rate_crime_property_quality,0-50000,No,
25,rate_juv_arrest,place,2023; 2022; 2021,all,All,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
25,rate_juv_arrest,place,2023; 2022; 2021,race-ethnicity,Black; Hispanic; Other Races and Ethnicities; White,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
25,rate_juv_arrest,place,2023; 2022; 2021,gender,Female; Male,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
25,rate_juv_arrest,place,2023; 2022; 2021,age,Age 10 to 14; Age 15 to 17,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
3,pctl_income_20,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,pctl_income_20_lb,pctl_income_20_ub,Yes,pctl_income_20_quality,0-1000000,Yes,
3,pctl_income_20,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,pctl_income_20_lb,pctl_income_20_ub,Yes,pctl_income_20_quality,0-1000000,Yes,
3,pctl_income_20,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,gender,Female; Male,2023; 2021; 2018; 2016; 2014,pctl_income_20_lb,pctl_income_20_ub,Yes,pctl_income_20_quality,0-1000000,Yes,
3,pctl_income_50,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,pctl_income_50_lb,pctl_income_50_ub,Yes,pctl_income_50_quality,0-9000000,Yes,
3,pctl_income_50,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,pctl_income_50_lb,pctl_income_50_ub,Yes,pctl_income_50_quality,0-9000000,Yes,
3,pctl_income_50,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,gender,Female; Male,2023; 2021; 2018; 2016; 2014,pctl_income_50_lb,pctl_income_50_ub,Yes,pctl_income_50_quality,0-9000000,Yes,
3,pctl_income_80,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,pctl_income_80_lb,pctl_income_80_ub,Yes,pctl_income_80_quality,0-9000000,Yes,
3,pctl_income_80,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,pctl_income_80_lb,pctl_income_80_ub,Yes,pctl_income_80_quality,0-9000000,Yes,
3,pctl_income_80,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,gender,Female; Male,2023; 2021; 2018; 2016; 2014,pctl_income_80_lb,pctl_income_80_ub,Yes,pctl_income_80_quality,0-9000000,Yes,
4,share_debt_coll,place,2023; 2021; 2019,all,All,2023; 2021; 2019,share_debt_coll_lb,share_debt_coll_ub,No,share_debt_coll_quality,0-1,No,
4,share_debt_coll,place,2023; 2021; 2019,race-share,Neighborhoods of color; White neighborhoods,2023; 2021; 2019,share_debt_coll_lb,share_debt_coll_ub,No,share_debt_coll_quality,0-1,No,
5,ratio_black_nh_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_black_nh_house_value_households_lb,ratio_black_nh_house_value_households_ub,No,ratio_black_nh_house_value_households_quality,,No,
5,ratio_black_nh_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_black_nh_house_value_households_lb,ratio_black_nh_house_value_households_ub,No,ratio_black_nh_house_value_households_quality,,No,
5,ratio_hispanic_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_hispanic_house_value_households_lb,ratio_hispanic_house_value_households_ub,No,ratio_hispanic_house_value_households_quality,,No,
5,ratio_hispanic_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_hispanic_house_value_households_lb,ratio_hispanic_house_value_households_ub,No,ratio_hispanic_house_value_households_quality,,No,
5,ratio_other_nh_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_other_nh_house_value_households_lb,ratio_other_nh_house_value_households_ub,No,ratio_other_nh_house_value_households_quality,,No,
5,ratio_other_nh_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_other_nh_house_value_households_lb,ratio_other_nh_house_value_households_ub,No,ratio_other_nh_house_value_households_quality,,No,
5,ratio_white_nh_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_white_nh_house_value_households_lb,ratio_white_nh_house_value_households_ub,No,ratio_white_nh_house_value_households_quality,,No,
5,ratio_white_nh_house_value_households,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,age,Under Age 45; Age 45 and Over,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,ratio_white_nh_house_value_households_lb,ratio_white_nh_house_value_households_ub,No,ratio_white_nh_house_value_households_quality,,No,
12,count_homeless,place,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2022; 2021; 2020; 2019,count_homeless_lb,count_homeless_ub,Yes,count_homeless_quality,,No,
12,count_homeless,place,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2022; 2021; 2020; 2019,count_homeless_lb,count_homeless_ub,Yes,count_homeless_quality,,No,
12,share_homeless,place,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2022; 2021; 2020; 2019,share_homeless_lb,share_homeless_ub,Yes,share_homeless_quality,0-1,No,
12,share_homeless,place,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2022; 2021; 2020; 2019,share_homeless_lb,share_homeless_ub,Yes,share_homeless_quality,0-1,No,
13,share_poverty_exposure,place,2023; 2021; 2018; 2016; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_poverty_exposure_lb,share_poverty_exposure_ub,No,share_poverty_exposure_quality,0-1,No,
13,share_poverty_exposure,place,2023; 2021; 2018; 2016; 2014,race-ethnicity,"Black; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_poverty_exposure_lb,share_poverty_exposure_ub,No,share_poverty_exposure_quality,0-1,No,
14,share_black_nh_exposure,place,2023; 2021; 2018; 2016,all,All,none,share_black_nh_exposure_lb,share_black_nh_exposure_ub,No,share_black_nh_exposure_quality,0-1,No,
14,share_hispanic_exposure,place,2023; 2021; 2018; 2016,all,All,none,share_hispanic_exposure_lb,share_hispanic_exposure_ub,No,share_hispanic_exposure_quality,0-1,No,
14,share_other_nh_exposure,place,2023; 2021; 2018; 2016,all,All,none,share_other_nh_exposure_lb,share_other_nh_exposure_ub,No,share_other_nh_exposure_quality,0-1,No,
14,share_white_nh_exposure,place,2023; 2021; 2018; 2016,all,All,none,share_white_nh_exposure_lb,share_white_nh_exposure_ub,No,share_white_nh_exposure_quality,0-1,No,
15,count_membership_associations_per_10k,place,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,count_membership_associations_per_10k_lb,count_membership_associations_per_10k_ub,No,count_membership_associations_per_10k_quality,0-500,No,
16,share_economic_connectedness,place,2022,all,All,none,share_economic_connectedness_lb,share_economic_connectedness_ub,No,share_economic_connectedness_quality,0-1,No,
17,share_transit_commuter,place,2022; 2019; 2015,all,All,2022; 2019; 2015,share_transit_commuter_lb,share_transit_commuter_ub,No,share_transit_commuter_quality,0-1,No,
17,share_transit_commuter,place,2022; 2019; 2015,race-share,Neighborhoods of color; White neighborhoods; Mixed neighborhoods,2022; 2019; 2015,share_transit_commuter_lb,share_transit_commuter_ub,No,share_transit_commuter_quality,0-1,No,
17,share_transportation_cost,place,2022; 2019; 2015,all,All,2022; 2019; 2015,share_transportation_cost_lb,share_transportation_cost_ub,No,share_transportation_cost_quality,0-1,No,
17,share_transportation_cost,place,2022; 2019; 2015,race-share,Neighborhoods of color; White neighborhoods; Mixed neighborhoods,2022; 2019; 2015,share_transportation_cost_lb,share_transportation_cost_ub,No,share_transportation_cost_quality,0-1,No,
22,share_election_turnout,place,2020; 2016,all,All,none,share_election_turnout_lb,share_election_turnout_ub,No,share_election_turnout_quality,0-1,No,
23,share_desc_rep_black_nonhispanic,place,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_black_nonhispanic_lb,share_desc_rep_black_nonhispanic_ub,No,share_desc_rep_black_nonhispanic_quality,0-1,No,
23,share_desc_rep_hispanic,place,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_hispanic_lb,share_desc_rep_hispanic_ub,No,share_desc_rep_hispanic_quality,0-1,No,
23,share_desc_rep_other,place,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_other_lb,share_desc_rep_other_ub,No,share_desc_rep_other_quality,0-1,No,
23,share_desc_rep_white_nonhispanic,place,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_white_nonhispanic_lb,share_desc_rep_white_nonhispanic_ub,No,share_desc_rep_white_nonhispanic_quality,0-1,No,
