year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality
2023,13,13131,.1210191,1
2023,13,13133,.0636215,1
2023,13,13135,.0417126,1
2023,13,13137,.0856731,1
2023,13,13139,.0926355,1
2023,13,13141,.1913043,1
2023,13,13143,.1197411,1
2023,13,13145,.0718133,1
2023,13,13147,.1060241,1
2023,13,13149,.1048159,1
2023,13,13151,.0498691,1
2023,13,13153,.1138113,1
2023,13,13155,.0559702,1
2023,13,13157,.0666216,1
2023,13,13159,.1117886,1
2023,13,13161,.0792291,1
2023,13,13163,.1460177,1
2023,13,13165,.1895911,1
2023,13,13167,.0511364,1
2023,13,13169,.1143868,1
2023,13,13171,.1056106,1
2023,13,13173,.1557789,1
2023,13,13175,.1134709,1
2023,13,13177,.0594059,1
2023,13,13179,.1279962,1
2023,13,13181,.1038462,1
2023,13,13183,.1084906,1
2023,13,13185,.1096467,1
2023,13,13187,.0889396,1
2023,13,13189,.1843251,1
2023,13,13191,.0968523,1
2023,13,13193,.1179625,1
2023,13,13195,.0564854,1
2023,13,13197,.0632911,1
2023,13,13199,.1846154,1
2023,13,13201,.0478723,1
2023,13,13205,.1725806,1
2023,13,13207,.1206897,1
2023,13,13209,.1201717,1
2023,13,13211,.0851371,1
2023,13,13213,.1178797,1
2023,13,13215,.1095867,1
2023,13,13217,.0824742,1
2023,13,13219,.0229991,1
2023,13,13221,.0567376,1
2023,13,13223,.0834915,1
2023,13,13225,.1767338,1
2023,13,13227,.0517857,1
2023,13,13229,.1237785,1
2023,13,13231,.0879541,1
2023,13,13233,.1468023,1
2023,13,13235,.1409692,1
2023,13,13237,.1152263,1
2023,13,13239,.0512821,1
2023,13,13241,.0694698,1
2023,13,13243,.0962567,1
2023,13,13245,.173968,1
2023,13,13247,.0793173,1
2023,13,13249,.027027,1
2023,13,13251,.1946721,1
2023,13,13253,.0766551,1
2023,13,13255,.0844521,1
2023,13,13257,.1023256,1
2023,13,13259,.1142857,1
2023,13,13261,.1112412,1
2023,13,13263,.1610738,1
2023,13,13265,.1481481,1
2023,13,13267,.1518987,1
2023,13,13269,.1801242,1
2023,13,13271,.0758294,1
2023,13,13273,.0804196,1
2023,13,13275,.1184388,1
2023,13,13277,.0882117,1
2023,13,13279,.1445498,1
2023,13,13281,.0519187,1
2023,13,13283,.1428571,1
2023,13,13285,.0983679,1
2023,13,13287,.0830189,1
2023,13,13289,.1003584,1
2023,13,13291,.0624277,1
2023,13,13293,.1451247,1
2023,13,13295,.1391029,1
2023,13,13297,.0538721,1
2023,13,13299,.1576577,1
2023,13,13301,.172973,1
2023,13,13303,.1045242,1
2023,13,13305,.1577381,1
2023,13,13307,NA,NA
2023,13,13309,.1384615,1
2023,13,13311,.0986985,1
2023,13,13313,.0920285,1
2023,13,13315,.1785714,1
2023,13,13317,.115016,1
2023,13,13319,.1863799,1
2023,13,13321,.0788591,1
2023,15,15001,.009846,1
2023,15,15003,.0114167,1
2023,15,15005,NA,NA
2023,15,15007,.007611,1
2023,15,15009,.0202966,1
2023,16,16001,.0267332,1
2023,16,16003,.0410959,1
2023,16,16005,.0835777,1
2023,16,16007,.0252525,1
2023,16,16009,.0154321,1
2023,16,16011,.0597983,1
2023,16,16013,.0224439,1
2023,16,16015,.0273038,1
2023,16,16017,.0100413,1
2023,16,16019,.0283444,1
2023,16,16021,.0072464,1
2023,16,16023,.025641,1
2023,16,16025,NA,NA
2023,16,16027,.0443591,1
2023,16,16029,.0630252,1
2023,16,16031,.0429185,1
2023,16,16033,NA,NA
2023,16,16035,.0241935,1
2023,16,16037,.0134228,1
2023,16,16039,.0358796,1
2023,16,16041,.0119904,1
2023,16,16043,.035443,1
2023,16,16045,.0276923,1
2023,16,16047,.0208333,1
2023,16,16049,.0241449,1
2023,16,16051,.032,1
2023,16,16053,.0293296,1
2023,16,16055,.0200415,1
2023,16,16057,.0136986,1
2023,16,16059,.03861,1
2023,16,16061,.025,1
2023,16,16063,.0326087,1
2023,16,16065,.0138889,1
2023,16,16067,.05,1
2023,16,16069,.0420595,1
2023,16,16071,.038961,1
2023,16,16073,.045584,1
2023,16,16075,.0323741,1
2023,16,16077,.0614754,1
2023,16,16079,.0249433,1
2023,16,16081,.0314136,1
2023,16,16083,.0326774,1
2023,16,16085,.0157068,1
2023,16,16087,.0306748,1
2023,17,17001,.0560345,1
2023,17,17003,.1118421,1
2023,17,17005,.06621,1
2023,17,17007,.0652709,1
2023,17,17009,.0597015,1
2023,17,17011,.0695733,1
2023,17,17013,.0377358,1
2023,17,17015,.0207039,1
2023,17,17017,.0578704,1
2023,17,17019,.072665,1
2023,17,17021,.0496454,1
2023,17,17023,.0622407,1
2023,17,17025,.0803324,1
2023,17,17027,.0392523,1
2023,17,17029,.1407297,1
2023,17,17031,.0464321,1
2023,17,17033,.0397237,1
2023,17,17035,.1030303,1
2023,17,17037,.0466145,1
2023,17,17039,.0618337,1
2023,17,17041,.0848896,1
2023,17,17043,.0527238,1
2023,17,17045,.0836576,1
2023,17,17047,.04375,1
2023,17,17049,.056239,1
2023,17,17051,.0486381,1
2023,17,17053,.065534,1
2023,17,17055,.0342523,1
2023,17,17057,.0794118,1
2023,17,17059,.0681818,1
2023,17,17061,.0364146,1
2023,17,17063,.0990354,1
2023,17,17065,.039604,1
2023,17,17067,.0659537,1
2023,17,17069,.0168067,1
2023,17,17071,.0695187,1
2023,17,17073,.0300401,1
2023,17,17075,.0544835,1
2023,17,17077,.0394644,1
2023,17,17079,.0466667,1
2023,17,17081,.1091073,1
2023,17,17083,.0231023,1
2023,17,17085,.0446194,1
2023,17,17087,.0482574,1
2023,17,17089,.0660539,1
2023,17,17091,.0429602,1
2023,17,17093,.0813858,1
2023,17,17095,.0572776,1
2023,17,17097,.0477155,1
2023,17,17099,.0688746,1
2023,17,17101,.0473684,1
2023,17,17103,.0393542,1
2023,17,17105,.0662432,1
2023,17,17107,.039312,1
2023,17,17109,.0421607,1
2023,17,17111,.045006,1
2023,17,17113,.0464931,1
2023,17,17115,.0987496,1
2023,17,17117,.0644728,1
2023,17,17119,.0620398,1
2023,17,17121,.115894,1
2023,17,17123,.0550725,1
2023,17,17125,.0295567,1
2023,17,17127,.0694444,1
2023,17,17129,.0250696,1
2023,17,17131,.0263692,1
2023,17,17133,.0188501,1
2023,17,17135,.078478,1
2023,17,17137,.0500511,1
2023,17,17139,.0947631,1
2023,17,17141,.0511883,1
2023,17,17143,.04536,1
2023,17,17145,.0447227,1
2023,17,17147,.0634615,1
2023,17,17149,.0480167,1
2023,17,17151,.0375,1
2023,17,17153,.0632911,1
2023,17,17155,.0899471,1
2023,17,17157,.0924658,1
2023,17,17159,.0672098,1
2023,17,17161,.0347541,1
2023,17,17163,.0614149,1
2023,17,17165,.0406091,1
2023,17,17167,.0386676,1
2023,17,17169,.0654206,1
2023,17,17171,.035461,1
2023,17,17173,.1162029,1
2023,17,17175,.0227273,1
2023,17,17177,.0343378,1
2023,17,17179,.0391912,1
2023,17,17181,.0366599,1
2023,17,17183,.1101966,1
2023,17,17185,.0640668,1
2023,17,17187,.0472028,1
2023,17,17189,.0424528,1
2023,17,17191,.0517647,1
2023,17,17193,.0473118,1
2023,17,17195,.067447,1
2023,17,17197,.0638848,1
2023,17,17199,.0379805,1
2023,17,17201,.0740072,1
2023,17,17203,.0302506,1
2023,18,18001,.061117,1
2023,18,18003,.052812,1
2023,18,18005,.0382555,1
2023,18,18007,.0857143,1
2023,18,18009,.0659341,1
2023,18,18011,.0615862,1
2023,18,18013,.0289575,1
2023,18,18015,.0867508,1
2023,18,18017,.119403,1
2023,18,18019,.0977387,1
2023,18,18021,.0547445,1
2023,18,18023,.1237425,1
2023,18,18025,.0835579,1
2023,18,18027,.0465394,1
2023,18,18029,.0720775,1
2023,18,18031,.0993865,1
2023,18,18033,.0921626,1
2023,18,18035,.0473245,1
2023,18,18037,.0430267,1
2023,18,18039,.0735342,1
2023,18,18041,.0503401,1
2023,18,18043,.0786008,1
2023,18,18045,.0709091,1
2023,18,18047,.0601399,1
2023,18,18049,.1004566,1
2023,18,18051,.0630798,1
2023,18,18053,.1101902,1
2023,18,18055,.0691489,1
2023,18,18057,.0319838,1
2023,18,18059,.0681897,1
2023,18,18061,.0662202,1
2023,18,18063,.0622951,1
2023,18,18065,.0558408,1
2023,18,18067,.0857678,1
2023,18,18069,.0594142,1
2023,18,18071,.0976479,1
2023,18,18073,.0607211,1
2023,18,18075,.0752864,1
2023,18,18077,.0864917,1
2023,18,18079,.062645,1
2023,18,18081,.0644094,1
2023,18,18083,.0971323,1
2023,18,18085,.0682183,1
2023,18,18087,.0322917,1
2023,18,18089,.0651376,1
2023,18,18091,.0516336,1
2023,18,18093,.0720165,1
2023,18,18095,.0441826,1
2023,18,18097,.0789154,1
2023,18,18099,.0552727,1
2023,18,18101,.0463215,1
2023,18,18103,.0672182,1
2023,18,18105,.0480211,1
2023,18,18107,.057971,1
2023,18,18109,.0776699,1
2023,18,18111,.0782241,1
2023,18,18113,.0842857,1
2023,18,18115,.0779221,1
2023,18,18117,.0528926,1
2023,18,18119,.085034,1
2023,18,18121,.0568928,1
2023,18,18123,.0750916,1
2023,18,18125,.056701,1
2023,18,18127,.0387539,1
2023,18,18129,.0227818,1
2023,18,18131,.0725995,1
2023,18,18133,.0840787,1
2023,18,18135,.0603217,1
2023,18,18137,.0521832,1
2023,18,18139,.1380671,1
2023,18,18141,.0436463,1
2023,18,18143,.0988447,1
2023,18,18145,.0886981,1
2023,18,18147,.0521327,1
2023,18,18149,.0682788,1
2023,18,18151,.0858447,1
2023,18,18153,.048951,1
2023,18,18155,.0916031,1
2023,18,18157,.0767373,1
2023,18,18159,.055666,1
2023,18,18161,.0202429,1
2023,18,18163,.0545455,1
2023,18,18165,.049505,1
2023,18,18167,.0617785,1
2023,18,18169,.0322906,1
2023,18,18171,.0759494,1
2023,18,18173,.038661,1
2023,18,18175,.0653983,1
2023,18,18177,.0285855,1
2023,18,18179,.0290503,1
2023,18,18181,.1198402,1
2023,18,18183,.0438842,1
2023,19,19001,.0297872,1
2023,19,19003,.036036,1
2023,19,19005,.0644258,1
2023,19,19007,.0864865,1
2023,19,19009,.02,1
2023,19,19011,.0520966,1
2023,19,19013,.0490576,1
2023,19,19015,.0410133,1
2023,19,19017,.0183246,1
2023,19,19019,.0537634,1
2023,19,19021,.046595,1
2023,19,19023,.016092,1
2023,19,19025,.0289389,1
2023,19,19027,.0174881,1
2023,19,19029,.0547619,1
2023,19,19031,.0190972,1
2023,19,19033,.0254545,1
2023,19,19035,.021978,1
2023,19,19037,.0166205,1
2023,19,19039,.0892308,1
2023,19,19041,.0205993,1
2023,19,19043,.0326087,1
2023,19,19045,.0431507,1
2023,19,19047,.0774194,1
2023,19,19049,.0348235,1
2023,19,19051,.0237154,1
2023,19,19053,.026178,1
2023,19,19055,.0231214,1
2023,19,19057,.050041,1
2023,19,19059,.0094937,1
2023,19,19061,.0185704,1
2023,19,19063,.0074074,1
2023,19,19065,.0636704,1
2023,19,19067,.0477223,1
2023,19,19069,.0076046,1
2023,19,19071,.0328638,1
2023,19,19073,.0465116,1
2023,19,19075,.0241935,1
2023,19,19077,.0280374,1
2023,19,19079,.0802603,1
2023,19,19081,.0209581,1
2023,19,19083,.041502,1
2023,19,19085,.022869,1
2023,19,19087,.0829016,1
2023,19,19089,.024055,1
2023,19,19091,.0064935,1
2023,19,19093,.0181818,1
2023,19,19095,.020284,1
2023,19,19097,.0452418,1
2023,19,19099,.0477064,1
2023,19,19101,.0822785,1
2023,19,19103,.0229508,1
2023,19,19105,.0314961,1
2023,19,19107,.0688525,1
2023,19,19109,.0196078,1
2023,19,19111,.0590631,1
2023,19,19113,.0354114,1
2023,19,19115,.0457516,1
2023,19,19117,.0742358,1
2023,19,19119,.002849,1
2023,19,19121,.0412541,1
2023,19,19123,.052161,1
2023,19,19125,.0657143,1
2023,19,19127,.0354978,1
2023,19,19129,.0181818,1
2023,19,19131,.0196721,1
2023,19,19133,.0185874,1
2023,19,19135,.106383,1
2023,19,19137,.0821114,1
2023,19,19139,.0188531,1
2023,19,19141,.0094787,1
2023,19,19143,0,1
2023,19,19145,.0251889,1
2023,19,19147,.015748,1
2023,19,19149,.0121507,1
2023,19,19151,.055336,1
2023,19,19153,.0280728,1
2023,19,19155,.0423846,1
2023,19,19157,.0253165,1
2023,19,19159,.0442478,1
2023,19,19161,.0295203,1
2023,19,19163,.0252256,1
2023,19,19165,.039886,1
2023,19,19167,.0127796,1
2023,19,19169,.0337995,1
2023,19,19171,.0623742,1
2023,19,19173,.0594595,1
2023,19,19175,.0650155,1
2023,19,19177,.0304569,1
2023,19,19179,.0815739,1
2023,19,19181,.0252918,1
2023,19,19183,.0622155,1
2023,19,19185,.0663507,1
2023,19,19187,.0421632,1
2023,19,19189,.0229508,1
2023,19,19191,.012987,1
2023,19,19193,.0548981,1
2023,19,19195,.0195122,1
2023,19,19197,.038674,1
2023,20,20001,.1810585,1
2023,20,20003,.0695652,1
2023,20,20005,.0359408,1
2023,20,20007,.0348837,1
2023,20,20009,.0727513,1
2023,20,20011,.0781609,1
2023,20,20013,.0359477,1
2023,20,20015,.0433915,1
2023,20,20017,.0655738,1
2023,20,20019,.05,1
2023,20,20021,.077686,1
2023,20,20023,.0704225,1
2023,20,20025,NA,NA
2023,20,20027,.0618182,1
2023,20,20029,.0772358,1
2023,20,20031,.047619,1
2023,20,20033,.0344828,1
2023,20,20035,.0475737,1
2023,20,20037,.0648995,1
2023,20,20039,.04,1
2023,20,20041,.0732899,1
2023,20,20043,.0096618,1
2023,20,20045,.0523965,1
2023,20,20047,.0434783,1
2023,20,20049,.0657895,1
2023,20,20051,.0802326,1
2023,20,20053,.0574713,1
2023,20,20055,.0667276,1
2023,20,20057,.0473568,1
2023,20,20059,.1281407,1
2023,20,20061,.0570676,1
2023,20,20063,.0612245,1
2023,20,20065,.0581395,1
2023,20,20067,.0245098,1
2023,20,20069,.02,1
2023,20,20071,NA,NA
2023,20,20073,.0687831,1
2023,20,20075,.0416667,1
2023,20,20077,.0591716,1
2023,20,20079,.0390144,1
2023,20,20081,.0618557,1
2023,20,20083,NA,NA
2023,20,20085,.0305011,1
2023,20,20087,.0354839,1
2023,20,20089,.0253165,1
2023,20,20091,.0378404,1
2023,20,20093,.0380952,1
2023,20,20095,.0619048,1
2023,20,20097,.0138889,1
2023,20,20099,.1196581,1
2023,20,20101,.0588235,1
2023,20,20103,.0621444,1
2023,20,20105,.1265823,1
2023,20,20107,.0909091,1
2023,20,20109,.0333333,1
2023,20,20111,.0736607,1
