state,place,state_name,place_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
19,73335,Iowa,Sioux City city,1.5:2.3,2,5.6:12.7,2,2.6:6.2,2,90.3:78.9,2
20,36000,Kansas,Kansas City city,16.7:22.6,3,17.9:23.7,3,13.2:10.3,3,52.2:43.3,3
20,38900,Kansas,Lawrence city,2.6:2.3,1,1.2:4.1,1,5.1:12.8,1,91.1:80.8,1
20,52575,Kansas,Olathe city,1.7:2.5,2,2.5:6.8,2,5.9:7.5,2,89.9:83.2,2
20,53775,Kansas,Overland Park city,1.6:4.2,2,2.0:5.0,2,9.1:8.8,2,87.3:82.0,2
20,71000,Kansas,Topeka city,6.2:9.2,3,9.0:11.5,3,4.8:7.0,3,80.0:72.4,3
20,79000,Kansas,Wichita city,2.2:7.3,2,8.7:11.0,2,8.2:8.0,2,80.9:73.7,2
21,46027,Kentucky,Lexington-Fayette urban county,6.0:12.3,1,4.1:5.2,1,6.5:6.8,1,83.4:75.8,1
21,48006,Kentucky,Louisville/Jefferson County metro government (balance),8.5:17.6,2,5.9:7.1,2,5.3:5.5,2,80.4:69.8,2
22,05000,Louisiana,Baton Rouge city,23.7:49.3,3,3.3:4.0,3,5.2:5.2,3,67.8:41.4,3
22,40735,Louisiana,Lafayette city,7.9:20.2,2,2.8:3.4,2,5.5:6.3,2,83.9:70.1,2
22,41155,Louisiana,Lake Charles city,18.8:31.7,2,1.4:1.6,2,6.9:6.2,2,73.0:60.5,2
22,55000,Louisiana,New Orleans city,32.5:53.0,3,5.2:5.2,3,6.8:6.5,3,55.6:35.3,3
22,70000,Louisiana,Shreveport city,31.2:49.1,3,1.9:2.9,3,5.4:3.6,3,61.5:44.5,3
24,04000,Maryland,Baltimore city,39.0:59.7,2,2.5:4.0,2,6.3:6.5,2,52.1:29.8,2
24,30325,Maryland,Frederick city,9.4:10.8,2,8.3:9.8,2,12.3:11.9,2,70.0:67.5,2
25,07000,Massachusetts,Boston city,11.7:18.3,2,7.0:16.9,2,14.0:14.9,2,67.3:49.9,2
25,09000,Massachusetts,Brockton city,33.0:35.5,2,8.0:11.0,2,19.0:19.7,2,40.0:33.8,2
25,11000,Massachusetts,Cambridge city,5.0:8.5,3,3.9:7.7,3,16.0:22.2,3,75.1:61.6,3
25,23000,Massachusetts,Fall River city,3.1:4.0,2,4.0:7.2,2,5.1:6.3,2,87.8:82.5,2
25,34550,Massachusetts,Lawrence city,0.4:1.5,2,18.2:56.7,2,13.3:8.1,2,68.1:33.8,2
25,37000,Massachusetts,Lowell city,13.5:7.2,3,9.5:14.2,3,24.0:27.2,3,53.0:51.4,3
25,37490,Massachusetts,Lynn city,8.2:8.1,1,19.6:35.2,1,9.1:8.9,1,63.1:47.8,1
25,45000,Massachusetts,New Bedford city,1.3:3.2,3,7.2:12.8,3,12.7:9.2,3,78.8:74.8,3
25,45560,Massachusetts,Newton city,1.3:3.1,2,1.1:7.3,2,21.1:15.6,2,76.5:74.0,2
25,55745,Massachusetts,Quincy city,0.7:5.3,1,3.6:5.6,1,31.2:28.7,1,64.5:60.4,1
25,62535,Massachusetts,Somerville city,5.5:5.7,2,12.1:12.1,2,18.6:17.8,2,63.7:64.4,2
25,67000,Massachusetts,Springfield city,19.9:17.4,3,24.0:42.5,3,10.4:6.5,3,45.7:33.5,3
25,82000,Massachusetts,Worcester city,7.7:11.5,3,11.0:19.8,3,9.8:12.7,3,71.6:56.0,3
26,03000,Michigan,Ann Arbor city,2.9:5.9,3,3.4:3.7,3,14.1:20.0,3,79.6:70.4,3
26,21000,Michigan,Dearborn city,2.4:5.6,3,3.9:2.8,3,6.8:7.2,3,86.9:84.4,3
26,22000,Michigan,Detroit city,58.1:74.9,1,5.2:5.4,1,6.7:5.6,1,30.0:14.1,1
26,27440,Michigan,Farmington Hills city,33.0:44.0,2,1.5:2.2,2,10.0:14.8,2,55.5:39.0,2
26,29000,Michigan,Flint city,41.4:49.4,3,4.6:5.0,3,1.8:2.9,3,52.2:42.7,3
26,34000,Michigan,Grand Rapids city,8.1:15.8,1,6.2:8.7,1,5.7:8.4,1,80.0:67.0,1
26,46000,Michigan,Lansing city,5.3:16.7,3,12.6:10.0,3,10.3:12.4,3,71.8:60.9,3
26,49000,Michigan,Livonia city,9.9:19.0,2,2.2:2.3,2,7.0:6.4,2,81.0:72.2,2
26,69035,Michigan,Rochester Hills city,1.9:4.2,2,1.4:2.2,2,21.4:19.4,2,75.4:74.2,2
26,74900,Michigan,Southfield city,33.0:44.0,2,1.5:2.2,2,10.0:14.8,2,55.5:39.0,2
26,76460,Michigan,Sterling Heights city,3.7:7.2,1,1.3:3.2,1,8.5:9.4,1,86.5:80.3,1
26,80700,Michigan,Troy city,1.8:4.1,2,1.4:2.2,2,21.4:19.4,2,75.4:74.3,2
26,84000,Michigan,Warren city,10.2:20.8,2,2.1:1.8,2,16.1:12.8,2,71.6:64.6,2
26,86000,Michigan,Westland city,11.1:25.4,2,5.3:3.4,2,6.9:7.2,2,76.6:63.9,2
26,88940,Michigan,Wyoming city,3.8:7.4,2,9.6:14.0,2,6.5:6.9,2,80.1:71.8,2
27,06616,Minnesota,Bloomington city,2.5:10.0,2,1.9:4.4,2,7.4:10.1,2,88.2:75.6,2
27,07966,Minnesota,Brooklyn Park city,9.3:21.5,2,2.3:4.0,2,21.9:16.8,2,66.5:57.7,2
27,17000,Minnesota,Duluth city,0.4:3.2,3,0.5:3.2,3,10.9:8.5,3,88.3:85.1,3
27,43000,Minnesota,Minneapolis city,6.2:15.3,2,2.4:6.1,2,7.1:10.9,2,84.3:67.7,2
27,51730,Minnesota,Plymouth city,0.0:2.7,2,3.7:3.5,2,11.7:12.5,2,84.5:81.3,2
27,54880,Minnesota,Rochester city,1.0:5.4,2,3.0:4.8,2,8.5:8.5,2,87.5:81.3,2
27,58000,Minnesota,St. Paul city,9.5:14.7,1,3.9:8.1,1,14.9:14.6,1,71.7:62.6,1
27,71428,Minnesota,Woodbury city,2.3:4.3,2,1.4:2.3,2,11.8:11.3,2,84.4:82.0,2
28,36000,Mississippi,Jackson city,45.9:76.5,3,0.5:1.1,3,5.5:3.1,3,48.1:19.3,3
29,15670,Missouri,Columbia city,1.6:12.2,2,6.1:3.7,2,7.7:9.9,2,84.6:74.2,2
29,35000,Missouri,Independence city,12.2:14.2,3,3.8:6.3,3,4.1:5.1,3,80.0:74.5,3
29,38000,Missouri,Kansas City city,11.8:24.5,1,6.2:7.7,1,6.7:8.0,1,75.3:59.8,1
29,41348,Missouri,Lee's Summit city,7.4:9.6,1,3.0:4.3,1,7.6:6.7,1,82.0:79.3,1
29,54074,Missouri,O'Fallon city,3.3:3.9,2,2.7:2.6,2,5.5:6.6,2,88.5:86.9,2
29,65000,Missouri,St. Louis city,23.7:39.5,3,2.8:3.1,3,4.7:7.7,3,68.8:49.7,3
29,70000,Missouri,Springfield city,0.7:2.8,3,2.0:4.7,3,10.8:6.7,3,86.6:85.7,3
30,06550,Montana,Billings city,0.0:0.9,1,3.0:3.3,1,8.6:9.2,1,88.3:86.6,1
31,28000,Nebraska,Lincoln city,0.8:2.7,3,7.3:6.8,3,5.5:6.6,3,86.3:84.0,3
31,37000,Nebraska,Omaha city,3.1:10.6,3,6.2:11.3,3,5.9:7.0,3,84.7:71.1,3
32,31900,Nevada,Henderson city,5.9:8.1,1,10.0:13.8,1,18.9:16.9,1,65.3:61.2,1
32,40000,Nevada,Las Vegas city,5.5:12.4,2,16.2:25.2,2,13.8:13.4,2,64.5:49.0,2
32,51800,Nevada,North Las Vegas city,16.0:19.9,1,27.8:32.2,1,15.2:13.8,1,41.0:34.1,1
32,60600,Nevada,Reno city,0.9:3.0,1,9.3:18.1,1,9.6:11.2,1,80.1:67.7,1
32,68400,Nevada,Sparks city,1.8:2.1,2,17.7:21.5,2,10.6:10.8,2,69.9:65.6,2
33,45140,New Hampshire,Manchester city,1.4:3.7,1,5.9:8.9,1,2.2:5.1,1,90.6:82.3,1
33,50260,New Hampshire,Nashua city,2.6:6.4,2,3.4:9.3,2,12.9:10.0,2,81.0:74.3,2
34,13690,New Jersey,Clifton city,5.2:5.9,2,25.8:45.1,2,7.4:7.7,2,61.6:41.3,2
34,21000,New Jersey,Elizabeth city,9.4:15.2,3,60.8:64.2,3,11.6:8.7,3,18.2:11.8,3
34,36000,New Jersey,Jersey City city,17.2:17.7,3,17.0:25.1,3,33.0:30.3,3,32.7:26.9,3
34,51000,New Jersey,Newark city,39.5:48.5,3,29.3:31.0,3,17.2:11.7,3,14.0:8.8,3
34,57000,New Jersey,Paterson city,29.1:23.5,2,53.0:63.4,2,5.5:4.4,2,12.4:8.7,2
34,74000,New Jersey,Trenton city,25.9:40.5,2,28.9:26.1,2,5.7:6.1,2,39.4:27.3,2
35,02000,New Mexico,Albuquerque city,2.9:2.4,2,37.4:42.3,2,8.8:9.4,2,50.9:45.9,2
35,39380,New Mexico,Las Cruces city,0.3:2.0,1,48.5:60.4,1,4.6:4.8,1,46.6:32.8,1
35,63460,New Mexico,Rio Rancho city,1.6:1.8,2,30.0:35.4,2,11.8:13.8,2,56.7:49.0,2
35,70500,New Mexico,Santa Fe city,0.1:0.6,2,32.8:42.2,2,5.1:6.8,2,61.9:50.4,2
36,01000,New York,Albany city,9.3:22.7,3,5.8:9.6,3,13.1:8.2,3,71.9:59.4,3
36,11000,New York,Buffalo city,21.0:32.1,2,3.8:10.2,2,11.3:8.1,2,64.0:49.7,2
36,50617,New York,New Rochelle city,5.9:16.3,2,8.2:21.7,2,6.5:8.3,2,79.3:53.7,2
36,51000,New York,New York city,12.4:20.1,1,10.5:25.9,1,23.0:18.3,1,54.1:35.7,1
36,63000,New York,Rochester city,29.9:31.5,3,9.2:15.9,3,3.6:7.3,3,57.3:45.3,3
36,73000,New York,Syracuse city,15.7:24.0,3,14.1:8.9,3,6.6:9.6,3,63.7:57.4,3
36,84000,New York,Yonkers city,21.7:17.1,2,22.1:38.6,2,9.6:7.8,2,46.7:36.4,2
37,02140,North Carolina,Asheville city,1.5:7.9,2,4.8:3.9,2,2.5:5.2,2,91.1:83.0,2
37,10740,North Carolina,Cary town,3.4:8.0,2,3.4:5.8,2,17.5:15.6,2,75.6:70.7,2
37,12000,North Carolina,Charlotte city,13.5:33.0,2,6.7:10.8,2,8.3:8.6,2,71.6:47.5,2
37,14100,North Carolina,Concord city,10.5:18.0,2,9.0:10.1,2,13.4:8.4,2,67.0:63.6,2
37,19000,North Carolina,Durham city,18.6:33.8,3,3.4:7.5,3,8.4:9.4,3,69.7:49.3,3
37,22920,North Carolina,Fayetteville city,31.9:42.2,1,8.6:10.3,1,7.4:8.2,1,52.1:39.3,1
37,25580,North Carolina,Gastonia city,15.1:22.4,2,6.1:7.8,2,6.0:5.4,2,72.8:64.3,2
37,28000,North Carolina,Greensboro city,19.1:39.8,2,4.2:5.6,2,8.2:7.2,2,68.6:47.4,2
37,28080,North Carolina,Greenville city,23.6:37.9,2,4.7:5.1,2,2.7:4.4,2,69.0:52.6,2
37,31400,North Carolina,High Point city,15.6:27.5,2,2.8:7.6,2,12.4:10.3,2,69.2:54.7,2
37,55000,North Carolina,Raleigh city,10.6:22.4,3,3.9:8.4,3,8.2:8.2,3,77.2:61.0,3
37,74440,North Carolina,Wilmington city,2.9:11.8,2,4.0:4.4,2,2.7:5.1,2,90.4:78.7,2
37,75000,North Carolina,Winston-Salem city,16.4:32.0,3,9.5:10.5,3,6.3:4.9,3,67.8:52.6,3
38,25700,North Dakota,Fargo city,0.9:5.6,2,1.6:3.0,2,5.8:8.8,2,91.6:82.6,2
39,01000,Ohio,Akron city,13.8:27.0,3,4.8:2.6,3,5.2:8.4,3,76.1:62.0,3
39,15000,Ohio,Cincinnati city,15.4:36.3,2,2.7:3.1,2,5.1:7.4,2,76.8:53.2,2
39,16000,Ohio,Cleveland city,28.4:44.5,3,6.4:10.2,3,4.2:6.2,3,60.9:39.0,3
39,18000,Ohio,Columbus city,9.6:20.9,2,2.0:4.6,2,10.7:10.7,2,77.8:63.8,2
39,21000,Ohio,Dayton city,19.4:31.9,3,1.5:2.2,3,5.0:6.5,3,74.1:59.3,3
39,61000,Ohio,Parma city,1.6:6.3,3,3.3:4.5,3,3.8:4.0,3,91.3:85.3,3
39,77000,Ohio,Toledo city,16.9:26.4,3,5.7:7.0,3,4.3:4.7,3,73.1:61.9,3
40,09050,Oklahoma,Broken Arrow city,4.5:6.6,2,4.0:6.0,2,17.8:17.3,2,73.6:70.1,2
40,23200,Oklahoma,Edmond city,3.7:5.7,2,3.2:6.5,2,10.4:14.5,2,82.8:73.3,2
40,41850,Oklahoma,Lawton city,7.8:13.1,1,8.0:10.8,1,10.9:13.4,1,73.3:62.8,1
40,52500,Oklahoma,Norman city,1.9:4.4,2,3.3:6.0,2,16.0:15.6,2,78.8:74.0,2
40,55000,Oklahoma,Oklahoma City city,5.0:12.4,3,8.0:14.3,3,13.0:13.6,3,74.0:59.7,3
40,75000,Oklahoma,Tulsa city,6.2:9.9,3,5.7:10.6,3,11.0:14.4,3,77.1:65.1,3
41,05350,Oregon,Beaverton city,0.5:1.8,2,4.8:12.2,2,17.5:15.5,2,77.2:70.4,2
41,05800,Oregon,Bend city,NA:0.1,NA,6.2:8.9,2,3.2:4.1,2,90.6:86.9,2
41,23850,Oregon,Eugene city,0.2:0.8,2,4.0:8.7,2,7.6:8.9,2,88.2:81.6,2
41,31250,Oregon,Gresham city,2.5:3.9,2,8.0:13.3,2,11.1:15.4,2,78.4:67.4,2
41,34100,Oregon,Hillsboro city,1.2:4.1,1,12.7:15.0,1,17.5:20.3,1,68.6:60.6,1
41,47000,Oregon,Medford city,0.6:1.8,2,7.2:11.8,2,6.8:8.1,2,85.4:78.3,2
41,59000,Oregon,Portland city,2.0:5.0,2,6.0:9.0,2,12.1:14.0,2,79.9:72.0,2
41,64900,Oregon,Salem city,0.7:1.0,2,8.9:16.5,2,7.9:9.0,2,82.5:73.6,2
42,02000,Pennsylvania,Allentown city,22.4:6.2,3,27.2:48.7,3,2.9:8.3,3,47.5:36.8,3
42,06088,Pennsylvania,Bethlehem city,3.6:6.9,2,9.1:19.0,2,7.4:7.2,2,79.9:66.9,2
42,24000,Pennsylvania,Erie city,3.6:8.9,3,4.4:5.5,3,2.6:5.4,3,89.4:80.2,3
42,60000,Pennsylvania,Philadelphia city,27.8:39.6,1,10.1:11.9,1,11.0:11.1,1,51.1:37.3,1
42,61000,Pennsylvania,Pittsburgh city,8.7:17.0,2,2.7:4.1,2,5.2:10.2,2,83.4:68.7,2
42,63624,Pennsylvania,Reading city,4.4:5.0,2,22.1:44.1,2,2.7:3.2,2,70.7:47.6,2
42,69000,Pennsylvania,Scranton city,0.2:2.6,3,5.4:10.7,3,6.4:7.7,3,88.0:79.1,3
44,19180,Rhode Island,Cranston city,4.1:3.7,2,9.3:12.3,2,8.8:7.8,2,77.7:76.2,2
44,54640,Rhode Island,Pawtucket city,4.1:8.1,2,8.7:19.8,2,11.4:12.5,2,75.8:59.5,2
44,59000,Rhode Island,Providence city,4.6:7.3,3,23.4:36.1,3,11.5:10.6,3,60.5:46.0,3
44,74300,Rhode Island,Warwick city,0.6:1.8,2,3.8:4.3,2,5.0:5.6,2,90.6:88.3,2
45,13330,South Carolina,Charleston city,9.5:22.2,2,1.1:3.5,2,5.0:6.2,2,84.4:68.1,2
45,16000,South Carolina,Columbia city,26.6:44.5,3,2.0:3.6,3,4.0:5.8,3,67.4:46.1,3
45,48535,South Carolina,Mount Pleasant town,4.4:8.1,2,0.8:1.4,2,3.7:2.7,2,91.1:87.8,2
45,50875,South Carolina,North Charleston city,17.9:35.2,2,3.2:4.6,2,6.3:6.5,2,72.6:53.8,2
46,59020,South Dakota,Sioux Falls city,3.7:5.0,1,1.5:4.8,1,3.6:5.9,1,91.2:84.3,1
47,14000,Tennessee,Chattanooga city,15.2:23.3,3,2.6:4.7,3,5.5:5.9,3,76.8:66.2,3
47,15160,Tennessee,Clarksville city,17.9:23.7,2,11.8:9.6,2,5.0:6.8,2,65.3:59.9,2
47,27740,Tennessee,Franklin city,2.2:3.8,3,2.8:4.1,3,10.9:10.5,3,84.1:81.7,3
47,40000,Tennessee,Knoxville city,8.8:14.8,3,2.1:4.2,3,3.7:4.8,3,85.4:76.2,3
47,48000,Tennessee,Memphis city,35.3:60.9,2,3.1:4.6,2,5.6:3.7,2,55.9:30.8,2
47,51560,Tennessee,Murfreesboro city,8.1:16.6,2,2.9:4.5,2,8.2:9.1,2,80.7:69.8,2
47,52006,Tennessee,Nashville-Davidson metropolitan government (balance),13.9:24.1,1,3.3:7.1,1,5.6:7.3,1,77.1:61.5,1
48,01000,Texas,Abilene city,5.6:9.3,3,12.2:20.5,3,3.0:4.0,3,79.2:66.2,3
48,01924,Texas,Allen city,8.3:11.1,2,6.7:9.7,2,26.6:20.9,2,58.3:58.3,2
48,03000,Texas,Amarillo city,2.0:4.3,3,19.2:26.4,3,6.2:5.6,3,72.6:63.7,3
48,04000,Texas,Arlington city,17.4:26.6,3,21.1:25.4,3,11.7:10.9,3,49.8:37.1,3
48,05000,Texas,Austin city,3.5:7.1,2,16.2:26.7,2,12.9:12.0,2,67.4:54.2,2
48,06128,Texas,Baytown city,8.3:17.5,2,43.1:40.1,2,4.2:6.0,2,44.4:36.3,2
48,07000,Texas,Beaumont city,32.8:48.9,3,16.6:14.6,3,4.4:5.0,3,46.3:31.5,3
48,10768,Texas,Brownsville city,1.2:0.8,1,84.6:90.4,1,0.6:1.6,1,13.6:7.2,1
48,10912,Texas,Bryan city,4.5:9.3,2,15.0:22.2,2,8.6:9.9,2,71.9:58.6,2
48,13024,Texas,Carrollton city,4.0:15.2,2,12.9:21.6,2,27.5:19.8,2,55.7:43.4,2
48,13552,Texas,Cedar Park city,2.0:4.4,3,14.7:18.5,3,19.9:17.3,3,63.4:59.9,3
48,15976,Texas,College Station city,4.7:9.8,2,15.5:22.4,2,9.6:10.5,2,70.2:57.3,2
48,16432,Texas,Conroe city,3.3:6.7,3,12.6:19.0,3,4.0:4.9,3,80.1:69.5,3
48,17000,Texas,Corpus Christi city,2.3:3.0,2,47.7:61.3,2,5.2:4.1,2,44.8:31.6,2
48,19000,Texas,Dallas city,8.0:24.1,2,18.6:31.3,2,7.8:7.9,2,65.6:36.7,2
48,19972,Texas,Denton city,7.2:9.3,2,14.3:18.1,2,6.5:8.4,2,72.0:64.3,2
48,22660,Texas,Edinburg city,0.8:1.1,2,80.8:86.5,2,2.7:2.2,2,15.8:10.2,2
48,24000,Texas,El Paso city,3.0:3.7,2,74.7:78.6,2,3.4:3.8,2,18.9:13.9,2
48,26232,Texas,Flower Mound town,2.8:2.7,2,8.0:8.9,2,17.4:13.7,2,71.7:74.7,2
48,27000,Texas,Fort Worth city,8.2:16.1,2,20.1:26.4,2,8.8:7.5,2,62.9:49.9,2
48,27684,Texas,Frisco city,6.2:9.6,2,9.9:13.8,2,29.8:24.4,2,54.1:52.2,2
48,29000,Texas,Garland city,12.3:21.8,3,25.4:31.7,3,13.9:12.1,3,48.4:34.3,3
48,30464,Texas,Grand Prairie city,19.9:24.8,2,33.8:40.1,2,12.0:8.2,2,34.4:26.9,2
48,35000,Texas,Houston city,10.6:23.2,2,20.7:37.2,2,12.5:10.5,2,56.2:29.1,2
48,37000,Texas,Irving city,4.9:14.8,3,19.9:34.1,3,31.5:22.0,3,43.7:29.1,3
48,39148,Texas,Killeen city,28.7:34.3,1,30.6:26.4,1,8.3:8.7,1,32.5:30.6,1
48,41464,Texas,Laredo city,0.3:0.8,1,91.0:94.3,1,3.7:1.6,1,4.9:3.3,1
48,41980,Texas,League City city,4.2:7.4,2,11.9:19.6,2,12.0:8.8,2,72.0:64.2,2
48,42508,Texas,Lewisville city,6.3:18.1,1,18.1:21.8,1,20.5:17.7,1,55.1:42.4,1
48,43888,Texas,Longview city,11.0:22.7,2,8.6:11.1,2,3.4:4.1,2,77.0:62.1,2
48,45000,Texas,Lubbock city,1.8:4.6,3,27.0:35.4,3,7.0:6.4,3,64.3:53.6,3
48,45384,Texas,McAllen city,0.5:0.5,1,72.3:83.0,1,8.1:4.1,1,19.1:12.3,1
48,45744,Texas,McKinney city,5.9:9.4,1,8.5:13.0,1,19.5:15.5,1,66.0:62.1,1
48,47892,Texas,Mesquite city,17.4:26.8,2,32.1:37.5,2,10.1:5.5,2,40.4:30.2,2
48,48072,Texas,Midland city,2.8:6.0,1,36.9:45.7,1,2.4:3.1,1,57.9:45.2,1
48,48768,Texas,Mission city,0.0:0.0,2,83.2:86.3,2,3.8:2.7,2,12.9:11.0,2
48,50820,Texas,New Braunfels city,2.3:2.8,2,18.3:25.6,2,4.1:5.2,2,75.3:66.5,2
48,53388,Texas,Odessa city,0.8:4.6,2,51.1:57.9,2,5.7:5.2,2,42.5:32.3,2
48,56000,Texas,Pasadena city,1.9:6.4,3,47.2:56.2,3,7.4:5.7,3,43.6:31.7,3
48,56348,Texas,Pearland city,17.6:22.2,2,20.5:25.8,2,18.2:16.8,2,43.8:35.2,2
48,57200,Texas,Pharr city,NA,NA,91.8:96.3,2,NA:0.4,NA,8.2:3.4,2
48,58016,Texas,Plano city,5.5:13.1,1,7.2:12.4,1,22.9:23.0,1,64.4:51.5,1
48,61796,Texas,Richardson city,3.1:15.2,2,6.0:16.9,2,13.3:14.4,2,77.5:53.6,2
48,63500,Texas,Round Rock city,3.1:10.2,2,20.7:25.2,2,19.5:14.0,2,56.8:50.6,2
48,64472,Texas,San Angelo city,2.8:1.1,1,27.1:38.6,1,4.7:5.0,1,65.4:55.3,1
48,65000,Texas,San Antonio city,3.7:6.8,2,51.2:59.9,2,5.6:5.4,2,39.5:27.9,2
48,70808,Texas,Sugar Land city,6.6:13.1,2,13.1:21.2,2,44.2:31.7,2,36.1:33.9,2
48,72176,Texas,Temple city,5.7:11.1,2,14.2:19.6,2,4.8:7.0,2,75.2:62.3,2
48,74144,Texas,Tyler city,12.0:23.1,1,18.6:18.8,1,4.4:3.9,1,65.0:54.2,1
48,76000,Texas,Waco city,6.9:18.7,1,22.8:30.3,1,3.5:3.5,1,66.8:47.5,1
48,79000,Texas,Wichita Falls city,5.0:9.3,3,8.9:15.5,3,8.5:6.9,3,77.6:68.3,3
49,43660,Utah,Layton city,0.4:1.9,3,3.9:7.7,3,4.5:5.8,3,91.2:84.5,3
49,44320,Utah,Lehi city,0.0:0.0,3,6.8:9.4,3,5.3:5.9,3,87.9:84.7,3
49,55980,Utah,Ogden city,0.6:0.8,2,10.0:16.8,2,3.0:4.3,2,86.4:78.0,2
49,57300,Utah,Orem city,1.5:0.2,2,4.9:11.8,2,5.9:5.7,2,87.7:82.3,2
49,62470,Utah,Provo city,NA:0.8,NA,6.5:11.3,1,5.7:7.7,1,87.8:80.1,1
49,65330,Utah,St. George city,NA:0.4,NA,4.7:8.1,2,3.6:4.7,2,91.8:86.8,2
49,67000,Utah,Salt Lake City city,0.3:3.2,3,9.0:14.6,3,7.5:10.7,3,83.2:71.4,3
49,67440,Utah,Sandy city,0.3:0.8,2,3.6:8.1,2,5.3:7.7,2,90.8:83.4,2
49,70850,Utah,South Jordan city,0.0:0.0,3,5.2:8.5,3,4.7:6.0,3,90.2:85.5,3
49,82950,Utah,West Jordan city,2.4:2.7,2,10.1:16.1,2,5.9:6.6,2,81.5:74.6,2
49,83470,Utah,West Valley City city,0.7:1.6,2,24.3:34.6,2,14.4:14.4,2,60.6:49.4,2
51,01000,Virginia,Alexandria city,5.8:22.2,3,3.0:12.0,3,11.1:12.0,3,80.2:53.9,3
51,16000,Virginia,Chesapeake city,20.8:28.5,3,4.1:6.3,3,8.6:7.9,3,66.5:57.3,3
51,35000,Virginia,Hampton city,41.4:49.2,3,3.1:6.7,3,5.4:6.6,3,50.1:37.6,3
51,47672,Virginia,Lynchburg city,8.2:22.2,2,2.4:2.1,2,6.3:5.2,2,83.2:70.5,2
51,56000,Virginia,Newport News city,24.5:41.5,2,4.7:8.5,2,5.5:7.7,2,65.3:42.3,2
51,57000,Virginia,Norfolk city,17.7:35.7,2,4.2:6.8,2,9.0:9.0,2,69.0:48.5,2
51,64000,Virginia,Portsmouth city,44.2:49.6,3,4.8:4.5,3,5.7:5.8,3,45.3:40.1,3
51,67000,Virginia,Richmond city,22.6:37.7,3,3.5:5.8,3,3.9:5.9,3,70.0:50.6,3
51,68000,Virginia,Roanoke city,8.4:19.2,3,4.0:4.4,3,3.7:4.6,3,83.9:71.7,3
51,76432,Virginia,Suffolk city,24.9:35.0,2,3.4:3.4,2,7.0:5.8,2,64.8:55.7,2
51,82000,Virginia,Virginia Beach city,10.4:18.8,2,4.3:6.7,2,11.7:10.5,2,73.6:64.0,2
53,03180,Washington,Auburn city,3.7:10.6,2,7.8:12.7,2,21.8:16.3,2,66.6:60.3,2
53,05210,Washington,Bellevue city,0.9:2.8,1,1.1:5.6,1,41.5:45.2,1,56.5:46.4,1
53,05280,Washington,Bellingham city,0.6:0.7,2,2.5:8.6,2,10.3:10.9,2,86.6:79.8,2
53,22640,Washington,Everett city,2.0:3.5,2,6.8:11.7,2,24.8:17.1,2,66.3:67.6,2
53,23515,Washington,Federal Way city,5.1:11.3,2,8.7:15.4,2,19.8:20.1,2,66.4:53.2,2
53,35275,Washington,Kennewick city,1.1:1.8,2,14.1:20.5,2,6.9:8.2,2,77.8:69.6,2
53,35415,Washington,Kent city,7.1:13.3,1,4.9:12.7,1,27.1:24.2,1,61.0:49.8,1
53,35940,Washington,Kirkland city,0.5:2.1,2,3.5:7.5,2,30.8:32.6,2,65.1:57.7,2
53,53545,Washington,Pasco city,0.0:0.1,2,24.6:31.3,2,4.5:7.4,2,70.9:61.2,2
53,57745,Washington,Renton city,5.7:12.1,3,4.7:6.4,3,36.4:31.3,3,53.2:50.1,3
53,63000,Washington,Seattle city,1.8:4.7,2,3.2:6.7,2,19.4:25.0,2,75.6:63.6,2
53,67000,Washington,Spokane city,1.3:2.2,3,2.1:5.1,3,6.6:8.2,3,90.0:84.5,3
53,67167,Washington,Spokane Valley city,0.3:1.5,2,4.8:5.1,2,3.7:5.2,2,91.2:88.2,2
53,70000,Washington,Tacoma city,4.8:9.9,3,6.0:7.7,3,18.1:15.4,3,71.2:67.1,3
53,74060,Washington,Vancouver city,0.9:3.4,1,4.9:9.4,1,11.3:11.3,1,83.0:75.9,1
53,80010,Washington,Yakima city,0.4:0.7,2,17.8:36.2,2,4.5:5.2,2,77.3:57.9,2
55,02375,Wisconsin,Appleton city,0.6:1.6,3,3.5:3.8,3,7.0:5.9,3,88.9:88.8,3
55,31000,Wisconsin,Green Bay city,1.0:4.0,2,6.9:12.1,2,12.9:10.4,2,79.2:73.5,2
55,39225,Wisconsin,Kenosha city,2.6:6.1,2,6.7:11.1,2,8.2:5.9,2,82.6:76.8,2
55,48000,Wisconsin,Madison city,0.6:3.9,3,3.3:5.7,3,8.0:11.4,3,88.1:79.1,3
55,53000,Wisconsin,Milwaukee city,16.5:37.5,2,14.6:14.3,2,6.4:6.2,2,62.6:42.0,2
55,66000,Wisconsin,Racine city,4.7:8.2,3,11.7:8.8,3,1.9:3.5,3,81.7:79.5,3
