year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality,subgroup_type,subgroup
2023,1,1103,.0877014,1,race-ethnicity,All
2023,1,1103,.1027858,1,race-ethnicity,Majority Non-White
2023,1,1103,.08223,1,race-ethnicity,Majority White
2023,1,1105,.0675105,1,race-ethnicity,All
2023,1,1105,.0675105,1,race-ethnicity,Majority Non-White
2023,1,1105,NA,NA,race-ethnicity,Majority White
2023,1,1107,.0598911,1,race-ethnicity,All
2023,1,1107,.0686695,1,race-ethnicity,Majority Non-White
2023,1,1107,.0534591,1,race-ethnicity,Majority White
2023,1,1109,.131019,1,race-ethnicity,All
2023,1,1109,NA,NA,race-ethnicity,Majority Non-White
2023,1,1109,.131019,1,race-ethnicity,Majority White
2023,1,1111,.0790569,1,race-ethnicity,All
2023,1,1111,NA,NA,race-ethnicity,Majority Non-White
2023,1,1111,.0790569,1,race-ethnicity,Majority White
2023,1,1113,.1095968,1,race-ethnicity,All
2023,1,1113,.1133263,1,race-ethnicity,Majority Non-White
2023,1,1113,.1054591,1,race-ethnicity,Majority White
2023,1,1115,.05625,1,race-ethnicity,All
2023,1,1115,NA,NA,race-ethnicity,Majority Non-White
2023,1,1115,.0564067,1,race-ethnicity,Majority White
2023,1,1117,.0547021,1,race-ethnicity,All
2023,1,1117,NA,NA,race-ethnicity,Majority Non-White
2023,1,1117,.0544512,1,race-ethnicity,Majority White
2023,1,1119,.0537313,1,race-ethnicity,All
2023,1,1119,.0545455,1,race-ethnicity,Majority Non-White
2023,1,1119,NA,NA,race-ethnicity,Majority White
2023,1,1121,.1145038,1,race-ethnicity,All
2023,1,1121,.1370787,1,race-ethnicity,Majority Non-White
2023,1,1121,.1019387,1,race-ethnicity,Majority White
2023,1,1123,.0392593,1,race-ethnicity,All
2023,1,1123,.0344828,1,race-ethnicity,Majority Non-White
2023,1,1123,.0395883,1,race-ethnicity,Majority White
2023,1,1125,.0362982,1,race-ethnicity,All
2023,1,1125,.0334113,1,race-ethnicity,Majority Non-White
2023,1,1125,.039065,1,race-ethnicity,Majority White
2023,1,1127,.0991401,1,race-ethnicity,All
2023,1,1127,NA,NA,race-ethnicity,Majority Non-White
2023,1,1127,.0991401,1,race-ethnicity,Majority White
2023,1,1129,.0761523,1,race-ethnicity,All
2023,1,1129,.0827068,1,race-ethnicity,Majority Non-White
2023,1,1129,.0737705,1,race-ethnicity,Majority White
2023,1,1131,.0422535,1,race-ethnicity,All
2023,1,1131,.041791,1,race-ethnicity,Majority Non-White
2023,1,1131,NA,NA,race-ethnicity,Majority White
2023,1,1133,.0696721,1,race-ethnicity,All
2023,1,1133,NA,NA,race-ethnicity,Majority Non-White
2023,1,1133,.0696721,1,race-ethnicity,Majority White
2023,2,2013,NA,NA,race-ethnicity,All
2023,2,2013,NA,NA,race-ethnicity,Majority Non-White
2023,2,2013,NA,NA,race-ethnicity,Majority White
2023,2,2016,.0740741,1,race-ethnicity,All
2023,2,2016,.0740741,1,race-ethnicity,Majority Non-White
2023,2,2016,NA,NA,race-ethnicity,Majority White
2023,2,2020,.037421,1,race-ethnicity,All
2023,2,2020,.0546407,1,race-ethnicity,Majority Non-White
2023,2,2020,.029386,1,race-ethnicity,Majority White
2023,2,2050,.0215827,1,race-ethnicity,All
2023,2,2050,.0218978,1,race-ethnicity,Majority Non-White
2023,2,2050,NA,NA,race-ethnicity,Majority White
2023,2,2060,NA,NA,race-ethnicity,All
2023,2,2060,NA,NA,race-ethnicity,Majority Non-White
2023,2,2060,NA,NA,race-ethnicity,Majority White
2023,2,2063,.010929,1,race-ethnicity,All
2023,2,2063,NA,NA,race-ethnicity,Majority Non-White
2023,2,2063,.0057143,1,race-ethnicity,Majority White
2023,2,2066,.0135135,1,race-ethnicity,All
2023,2,2066,NA,NA,race-ethnicity,Majority Non-White
2023,2,2066,.0136986,1,race-ethnicity,Majority White
2023,2,2068,.08,1,race-ethnicity,All
2023,2,2068,NA,NA,race-ethnicity,Majority Non-White
2023,2,2068,.08,1,race-ethnicity,Majority White
2023,2,2070,.0210526,1,race-ethnicity,All
2023,2,2070,.0210526,1,race-ethnicity,Majority Non-White
2023,2,2070,NA,NA,race-ethnicity,Majority White
2023,2,2090,.0488936,1,race-ethnicity,All
2023,2,2090,.0185185,1,race-ethnicity,Majority Non-White
2023,2,2090,.0493643,1,race-ethnicity,Majority White
2023,2,2100,.027027,1,race-ethnicity,All
2023,2,2100,NA,NA,race-ethnicity,Majority Non-White
2023,2,2100,.027027,1,race-ethnicity,Majority White
2023,2,2105,.037037,1,race-ethnicity,All
2023,2,2105,NA,NA,race-ethnicity,Majority Non-White
2023,2,2105,NA,NA,race-ethnicity,Majority White
2023,2,2110,.022869,1,race-ethnicity,All
2023,2,2110,NA,NA,race-ethnicity,Majority Non-White
2023,2,2110,.022869,1,race-ethnicity,Majority White
2023,2,2122,.0346562,1,race-ethnicity,All
2023,2,2122,NA,NA,race-ethnicity,Majority Non-White
