year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,2,261,NA,3,race-ethnicity,All
2023,2,261,NA,3,race-ethnicity,Majority Non-White
2023,2,261,NA,3,race-ethnicity,Majority White
2023,2,275,.0166667,1,race-ethnicity,All
2023,2,275,NA,3,race-ethnicity,Majority Non-White
2023,2,275,.0166667,1,race-ethnicity,Majority White
2023,2,282,NA,3,race-ethnicity,All
2023,2,282,NA,3,race-ethnicity,Majority Non-White
2023,2,282,NA,3,race-ethnicity,Majority White
2023,2,290,.0315789,1,race-ethnicity,All
2023,2,290,.0344828,1,race-ethnicity,Majority Non-White
2023,2,290,NA,3,race-ethnicity,Majority White
2023,4,1,.0651934,1,race-ethnicity,All
2023,4,1,.0488923,1,race-ethnicity,Majority Non-White
2023,4,1,.1077844,1,race-ethnicity,Majority White
2023,4,3,.0624082,1,race-ethnicity,All
2023,4,3,.1009989,1,race-ethnicity,Majority Non-White
2023,4,3,.0514914,1,race-ethnicity,Majority White
2023,4,5,.0655257,1,race-ethnicity,All
2023,4,5,.0741127,1,race-ethnicity,Majority Non-White
2023,4,5,.063141,1,race-ethnicity,Majority White
2023,4,7,.0689445,1,race-ethnicity,All
2023,4,7,.1048035,1,race-ethnicity,Majority Non-White
2023,4,7,.0631206,1,race-ethnicity,Majority White
2023,4,9,.084,1,race-ethnicity,All
2023,4,9,.0857988,1,race-ethnicity,Majority Non-White
2023,4,9,.0802469,1,race-ethnicity,Majority White
2023,4,11,.1013825,1,race-ethnicity,All
2023,4,11,.1142857,1,race-ethnicity,Majority Non-White
2023,4,11,.0779221,1,race-ethnicity,Majority White
2023,4,12,.0365854,1,race-ethnicity,All
2023,4,12,.0243902,1,race-ethnicity,Majority Non-White
2023,4,12,.0528455,1,race-ethnicity,Majority White
2023,4,13,.055147,1,race-ethnicity,All
2023,4,13,.080244,1,race-ethnicity,Majority Non-White
2023,4,13,.0400224,1,race-ethnicity,Majority White
2023,4,15,.044341,1,race-ethnicity,All
2023,4,15,NA,3,race-ethnicity,Majority Non-White
2023,4,15,.0439092,1,race-ethnicity,Majority White
2023,4,17,.068,1,race-ethnicity,All
2023,4,17,.0717629,1,race-ethnicity,Majority Non-White
2023,4,17,.0654971,1,race-ethnicity,Majority White
2023,4,19,.0398417,1,race-ethnicity,All
2023,4,19,.0516297,1,race-ethnicity,Majority Non-White
2023,4,19,.0334583,1,race-ethnicity,Majority White
2023,4,21,.0588462,1,race-ethnicity,All
2023,4,21,.0670075,1,race-ethnicity,Majority Non-White
2023,4,21,.0536956,1,race-ethnicity,Majority White
2023,4,23,.0505457,1,race-ethnicity,All
2023,4,23,.0546875,1,race-ethnicity,Majority Non-White
2023,4,23,.0195122,1,race-ethnicity,Majority White
2023,4,25,.0607091,1,race-ethnicity,All
2023,4,25,.1311475,1,race-ethnicity,Majority Non-White
2023,4,25,.0601835,1,race-ethnicity,Majority White
2023,4,27,.0514295,1,race-ethnicity,All
2023,4,27,.0548895,1,race-ethnicity,Majority Non-White
2023,4,27,.0314193,1,race-ethnicity,Majority White
2023,5,1,.036036,1,race-ethnicity,All
2023,5,1,NA,3,race-ethnicity,Majority Non-White
2023,5,1,.0366972,1,race-ethnicity,Majority White
2023,5,3,.1362916,1,race-ethnicity,All
2023,5,3,NA,3,race-ethnicity,Majority Non-White
2023,5,3,.1353135,1,race-ethnicity,Majority White
2023,5,5,.1066056,1,race-ethnicity,All
2023,5,5,NA,3,race-ethnicity,Majority Non-White
2023,5,5,.1066056,1,race-ethnicity,Majority White
2023,5,7,.0573726,1,race-ethnicity,All
2023,5,7,.107438,1,race-ethnicity,Majority Non-White
2023,5,7,.0567056,1,race-ethnicity,Majority White
2023,5,9,.0637611,1,race-ethnicity,All
2023,5,9,NA,3,race-ethnicity,Majority Non-White
2023,5,9,.0637611,1,race-ethnicity,Majority White
