year,state,county,share_auto_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,5,107,.124183,1,race-ethnicity,All
2023,5,107,.130137,1,race-ethnicity,Majority Non-White
2023,5,107,NA,3,race-ethnicity,Majority White
2023,5,109,.0442478,1,race-ethnicity,All
2023,5,109,NA,3,race-ethnicity,Majority Non-White
2023,5,109,.0442478,1,race-ethnicity,Majority White
2023,5,111,.1103448,1,race-ethnicity,All
2023,5,111,NA,3,race-ethnicity,Majority Non-White
2023,5,111,.1103448,1,race-ethnicity,Majority White
2023,5,113,.0305344,1,race-ethnicity,All
2023,5,113,NA,3,race-ethnicity,Majority Non-White
2023,5,113,.0305344,1,race-ethnicity,Majority White
2023,5,115,.0418719,1,race-ethnicity,All
2023,5,115,NA,3,race-ethnicity,Majority Non-White
2023,5,115,.0418719,1,race-ethnicity,Majority White
2023,5,117,.0606061,1,race-ethnicity,All
2023,5,117,NA,3,race-ethnicity,Majority Non-White
2023,5,117,.0606061,1,race-ethnicity,Majority White
2023,5,119,.0938865,1,race-ethnicity,All
2023,5,119,.1341682,1,race-ethnicity,Majority Non-White
2023,5,119,.070714,1,race-ethnicity,Majority White
2023,5,121,.0505618,1,race-ethnicity,All
2023,5,121,NA,3,race-ethnicity,Majority Non-White
2023,5,121,.0505618,1,race-ethnicity,Majority White
2023,5,123,.0631068,1,race-ethnicity,All
2023,5,123,.0700637,1,race-ethnicity,Majority Non-White
2023,5,123,NA,3,race-ethnicity,Majority White
2023,5,125,.0493274,1,race-ethnicity,All
2023,5,125,NA,3,race-ethnicity,Majority Non-White
