cityname,state,population2020,statename,state_abbr,ec_zip,ec_se_zip,data_quality
Sparks city,32,108772,Nevada,NV,0.7923877678953488,0.012539994186046512,3
Spokane city,53,228831,Washington,WA,0.8638824314259416,0.014364665675446048,3
Spokane Valley city,53,103317,Washington,WA,0.8780578466629587,0.013400686007044863,3
Springfield city,17,114461,Illinois,IL,0.8187535696129614,0.020383568631863185,3
Springfield city,25,155913,Massachusetts,MA,0.6248606951665006,0.01509875179651047,3
Springfield city,29,169767,Missouri,MO,0.8976152641988796,0.013266235494397758,3
St. George city,49,95284,Utah,UT,1.112266778202677,0.012374349904397704,3
St. Louis city,29,301578,Missouri,MO,0.6953848244349498,0.013670387813928648,3
St. Paul city,27,311448,Minnesota,MN,0.9120539477647762,0.017566758262043045,3
St. Petersburg city,12,258277,Florida,FL,0.793576036441124,0.013739066028568744,3
Sterling Heights city,26,134348,Michigan,MI,0.8962806304828621,0.01412971979009257,3
Suffolk city,51,94324,Virginia,VA,0.8243515046363409,0.01966789562591852,3
Sugar Land city,48,111046,Texas,TX,0.9868869406635731,0.019850028631554526,3
Sunrise city,12,97313,Florida,FL,0.897891950244535,0.013875128005631716,3
Syracuse city,36,147363,New York,NY,0.6091446696343835,0.01422579143122002,3
Tacoma city,53,219025,Washington,WA,0.9813675788586176,0.017996479709789324,3
Tallahassee city,12,196068,Florida,FL,0.7931595118676424,0.012166309262519888,3
Tampa city,12,382769,Florida,FL,0.8325936011743652,0.0166509008595624,3
Temple city,48,81938,Texas,TX,0.762672804017094,0.0114911396002849,3
Toledo city,39,270726,Ohio,OH,0.5797702611969863,0.011475603004935239,3
Topeka city,20,126515,Kansas,KS,0.7745874529377256,0.020319188894855594,3
Trenton city,34,90857,New Jersey,NJ,0.46899090294451196,0.01166626972490887,3
Troy city,26,87316,Michigan,MI,1.0977344686766919,0.025613002756641606,3
Tulsa city,40,412458,Oklahoma,OK,0.7229327200155832,0.01570133137760463,3
Tyler city,48,105735,Texas,TX,0.6643296607080695,0.01104662573892405,3
Urban Honolulu CDP,15,350943,Hawaii,HI,1.156288620133285,0.012295488913122501,3
Vancouver city,53,190810,Washington,WA,0.94144061695747006,0.014577371968011633,3
Virginia Beach city,51,459470,Virginia,VA,1.0002388684086616,0.011955433503653525,3
Waco city,48,137948,Texas,TX,0.6019536098202026,0.015353324441320693,3
Warner Robins city,13,80324,Georgia,GA,0.6057208820560747,0.010066202312914187,3
Warren city,26,139407,Michigan,MI,0.7309313862572515,0.011641970414182837,3
Warwick city,44,82976,Rhode Island,RI,1.038626521051666,0.015487492736166309,3
Waukegan city,17,89361,Illinois,IL,0.5999193903461538,0.012285019257692308,3
West Jordan city,49,117190,Utah,UT,1.0063288192988669,0.013869826487252124,3
West Palm Beach city,12,117151,Florida,FL,0.680111741626506,0.013247752548656164,3
West Valley City city,49,140571,Utah,UT,0.7932875127695835,0.01335585381842019,3
Westland city,26,85433,Michigan,MI,0.815928031948052,0.011293346653346654,3
Wichita city,20,397070,Kansas,KS,0.7966756307783304,0.015291716189395777,3
Wichita Falls city,48,102498,Texas,TX,0.7815721507300326,0.014746588200758944,3
Wilmington city,37,115955,North Carolina,NC,0.8376814951821192,0.010843733361341059,3
Winston-Salem city,37,249443,North Carolina,NC,0.646939258739705,0.011156554299042328,3
Woodbury city,27,75163,Minnesota,MN,1.2056446069651743,0.021597835819900497,3
Worcester city,25,206601,Massachusetts,MA,0.8509035989404494,0.014799076512921347,3
Wyoming city,26,76574,Michigan,MI,0.7702481644839069,0.012184864964853869,3
Yakima city,53,96873,Washington,WA,0.6392950842597402,0.01235464935064935,3
Yonkers city,36,211237,New York,NY,0.8674631963811741,0.01796516564776318,3
